Fecha,Duración media de la sesión,Búsquedas orgánicas,Rebotes,Salidas,Usuarios nuevos,Sesiones,Valor medio de pedido,Tasa de conversión de comercio electrónico,Número de unidades agregadas al carrito,Valor por sesión,Número de veces que el producto que ha retirado del carrito,Transacciones,Porcentaje compra/detalle,Porcentaje carrito/detalle,Ingresos,CTR de la lista de productos,Clics de la lista de productos,Sesiones con búsquedas,Sesiones con evento,Número de pagos de productos,Páginas/sesión,Cantidad,Compras Redsys,Compras Paypal
20171124,0:02:19,749,879,6565,4017,6616,"31,61 ","1,96 ",1074,"0,62 ",387,130,"3,00 ","16,03 ","4.108,90 ","2,14 ",4729,38,5645,1082,"3,5",209,"231,71 ","90,24 "
20171018,0:02:20,746,344,3509,1945,3537,"38,12 ","1,64 ",306,"0,63 ",80,58,"2,79 ","8,68 ","2.210,80 ","2,34 ",2972,15,3165,309,"3,47",99,"186,67 ","113,33 "
20171004,0:02:58,729,371,3900,2656,3935,"44,03 ","1,83 ",437,"0,81 ",127,72,"3,33 ","10,67 ","3.170,02 ","2,35 ",3984,9,3513,307,"4,29",141,"300,00 ","118,18 "
20170918,0:03:01,649,264,2352,1197,2372,"45,77 ","2,87 ",406,"1,31 ",108,68,"4,68 ","13,33 ","3.112,26 ","2,13 ",2044,9,2073,587,"3,89",140,"223,08 ","100,00 "
20170919,0:02:44,631,224,1961,1075,1977,"42,71 ","2,68 ",264,"1,14 ",87,53,"4,41 ","11,58 ","2.263,43 ","2,27 ",1565,15,1714,266,"3,69",99,"176,47 ","76,47 "
20171023,0:02:35,626,271,2025,1006,2041,"34,87 ","1,81 ",264,"0,63 ",71,37,"2,39 ","10,49 ","1.290,17 ","2,45 ",1754,4,1730,358,"3,72",68,"750,00 ","250,00 "
20171019,0:02:03,623,300,2844,1630,2871,"34,21 ","1,15 ",321,"0,39 ",112,33,"1,99 ","10,85 ","1.128,81 ","2,37 ",2247,24,2529,267,"3,49",54,"82,14 ","25,00 "
20171106,0:02:21,623,314,3033,1599,3051,"36,34 ","1,15 ",498,"0,42 ",163,35,"2,62 ","14,01 ","1.271,81 ","1,96 ",2421,13,2692,439,"3,64",89,"138,46 ","153,85 "
20171017,0:02:23,602,287,2739,1467,2758,"31,71 ","1,70 ",243,"0,54 ",112,47,"2,43 ","8,97 ","1.490,15 ","2,18 ",2279,13,2438,250,"3,53",65,"200,00 ","78,57 "
20170927,0:02:13,599,284,3111,1948,3134,"43,05 ","0,83 ",328,"0,36 ",98,26,"1,35 ","10,50 ","1.119,42 ","2,80 ",2925,11,2823,244,"3,56",48,"183,33 ","41,67 "
20171108,0:02:17,594,278,3535,2144,3566,"35,64 ","1,60 ",620,"0,57 ",201,57,"3,35 ","16,01 ","2.031,37 ","2,13 ",2848,11,3237,421,"3,34",135,"185,71 ","107,14 "
20171002,0:02:33,586,290,2826,1656,2843,"37,71 ","2,57 ",345,"0,97 ",100,73,"4,42 ","11,78 ","2.752,52 ","2,30 ",2503,6,2521,332,"3,6",129,"325,00 ","187,50 "
20170925,0:02:22,585,233,2623,1459,2645,"37,65 ","0,87 ",272,"0,33 ",113,23,"1,28 ","10,09 ","865,90 ","2,53 ",2383,12,2369,205,"3,54",35,"116,67 ","100,00 "
20171107,0:02:18,576,565,3286,1963,3333,"39,69 ","1,89 ",457,"0,75 ",140,63,"3,83 ","13,76 ","2.500,28 ","1,74 ",2308,12,2718,298,"3,35",124,"214,29 ","50,00 "
20171126,0:02:30,576,628,4692,2664,4728,"31,29 ","2,62 ",894,"0,82 ",342,124,"4,50 ","16,68 ","3.880,26 ","2,35 ",3906,26,4034,931,"3,65",249,"255,88 ","126,47 "
20171123,0:02:33,573,720,5131,2890,5170,"34,52 ","2,21 ",909,"0,76 ",353,114,"3,73 ","15,36 ","3.935,63 ","2,42 ",4214,25,4364,912,"3,8",219,"246,15 ","100,00 "
20171105,0:02:14,571,286,3157,1633,3179,"35,88 ","1,07 ",487,"0,38 ",170,34,"1,63 ","14,00 ","1.219,81 ","2,41 ",2558,10,2872,368,"3,45",59,"183,33 ","125,00 "
20171024,0:02:41,569,189,1745,897,1762,"42,28 ","2,16 ",286,"0,91 ",86,38,"3,17 ","13,83 ","1.606,77 ","2,64 ",1561,4,1543,250,"3,61",64,"525,00 ","125,00 "
20170920,0:02:19,568,258,2418,1438,2442,"36,58 ","1,02 ",208,"0,37 ",75,25,"1,64 ","8,01 ","914,40 ","2,70 ",2152,10,2150,200,"3,61",42,"120,00 ","60,00 "
20171022,0:02:26,568,290,2242,1127,2267,"39,35 ","1,41 ",369,"0,56 ",137,32,"2,12 ","12,91 ","1.259,20 ","2,56 ",2047,6,1956,230,"3,6",67,"366,67 ","216,67 "
20171009,0:03:03,566,240,2148,1133,2168,"42,46 ","1,94 ",287,"0,82 ",106,42,"3,07 ","11,08 ","1.783,14 ","2,61 ",2145,9,1890,324,"4,08",79,"260,00 ","140,00 "
20170921,0:02:27,559,264,2226,1364,2237,"44,83 ","1,25 ",259,"0,56 ",103,28,"2,36 ","11,22 ","1.255,15 ","2,70 ",1929,18,1937,246,"3,54",58,"127,78 ","33,33 "
20170926,0:02:24,559,281,2858,1688,2878,"56,72 ","1,01 ",351,"0,57 ",124,29,"2,25 ","11,61 ","1.644,95 ","2,85 ",2652,11,2569,370,"3,62",66,"176,92 ","30,77 "
20171008,0:02:32,556,239,2236,1286,2251,"44,77 ","0,84 ",261,"0,38 ",104,19,"1,70 ","10,27 ","850,57 ","2,37 ",2158,5,1993,146,"3,92",42,"300,00 ","120,00 "
20170912,0:02:36,553,180,2339,1467,2356,"38,78 ","2,29 ",362,"0,89 ",116,54,"3,33 ","13,52 ","2.093,95 ","2,93 ",2537,6,2156,265,"3,98",97,"362,50 ","187,50 "
20171102,0:02:25,547,230,1912,1046,1928,"36,29 ","2,39 ",251,"0,87 ",94,46,"3,25 ","11,13 ","1.669,22 ","2,50 ",1539,10,1664,230,"3,65",75,"181,82 ","100,00 "
20170404,0:02:14,546,235,2402,1580,2424,"36,11 ","1,32 ",208,"0,48 ",69,32,"2,96 ","9,07 ","1.155,64 ","2,78 ",1980,8,2159,157,"3,51",69,"212,50 ","112,50 "
20170509,0:02:49,545,194,2055,1266,2065,"38,28 ","1,50 ",275,"0,57 ",90,31,"3,01 ","13,17 ","1.186,67 ","2,89 ",2079,10,1839,270,"3,79",63,"163,64 ","145,45 "
20171003,0:02:37,545,337,3356,2144,3399,"37,89 ","1,82 ",375,"0,69 ",124,62,"3,46 ","11,39 ","2.349,10 ","2,12 ",3124,8,3023,295,"3,54",119,"311,11 ","122,22 "
20170917,0:02:40,544,187,2039,1032,2050,"47,83 ","1,71 ",314,"0,82 ",106,35,"2,92 ","11,49 ","1.674,22 ","2,08 ",1811,10,1844,275,"3,7",76,"260,00 ","110,00 "
20171016,0:02:40,544,317,2597,1379,2622,"42,94 ","2,52 ",343,"1,08 ",135,66,"4,13 ","11,41 ","2.833,96 ","2,49 ",2300,7,2267,273,"3,63",129,"362,50 ","187,50 "
20171122,0:02:29,544,763,3891,2371,3925,"27,45 ","1,71 ",592,"0,47 ",239,67,"2,50 ","14,52 ","1.839,29 ","2,34 ",3277,21,3103,476,"3,83",97,"188,89 ","66,67 "
20170418,0:02:12,542,192,2007,1247,2020,"38,89 ","1,49 ",231,"0,58 ",106,30,"2,14 ","9,40 ","1.166,72 ","2,59 ",1455,6,1794,156,"3,51",53,"300,00 ","100,00 "
20170426,0:02:32,542,334,3362,2230,3384,"37,70 ","1,89 ",318,"0,71 ",94,64,"3,33 ","10,00 ","2.412,90 ","2,86 ",3427,9,3006,308,"3,87",106,"240,00 ","120,00 "
20171109,0:02:06,541,378,3333,2153,3371,"36,98 ","1,54 ",540,"0,57 ",139,52,"3,18 ","15,09 ","1.922,99 ","2,35 ",2610,10,2942,337,"3,22",111,"254,55 ","72,73 "
20171029,0:02:05,538,310,2096,1164,2109,"42,53 ","0,71 ",225,"0,30 ",96,15,"1,34 ","10,25 ","637,96 ","2,24 ",1557,6,1771,158,"3,19",29,"214,29 ","14,29 "
20170508,0:03:01,529,178,1973,1105,1988,"40,68 ","3,77 ",274,"1,53 ",98,75,"6,84 ","12,81 ","3.051,29 ","2,94 ",1908,5,1779,232,"3,73",145,"375,00 ","75,00 "
20171104,0:02:09,526,235,1920,1013,1929,"33,09 ","1,14 ",188,"0,38 ",67,22,"1,85 ","9,36 ","728,05 ","2,35 ",1386,11,1669,176,"3,31",36,"146,15 ","46,15 "
20170419,0:02:15,525,211,2716,1711,2734,"38,51 ","1,35 ",309,"0,52 ",125,37,"2,34 ","10,16 ","1.424,75 ","2,78 ",2341,12,2492,195,"3,45",65,"115,79 ","57,89 "
20171030,0:02:20,524,377,2739,1563,2759,"35,79 ","1,34 ",376,"0,48 ",139,37,"1,85 ","12,06 ","1.324,31 ","2,61 ",2298,11,2335,341,"3,55",55,"258,33 ","83,33 "
20170928,0:02:17,521,269,2498,1488,2524,"44,35 ","1,35 ",287,"0,60 ",83,34,"2,68 ","11,20 ","1.508,03 ","2,66 ",2245,7,2224,237,"3,53",67,"312,50 ","125,00 "
20171001,0:02:31,520,311,2808,1475,2828,"30,69 ","1,52 ",423,"0,47 ",177,43,"1,99 ","13,43 ","1.319,66 ","2,55 ",2699,14,2493,341,"3,74",63,"158,82 ","105,88 "
20171025,0:02:53,520,253,2349,1159,2368,"35,02 ","2,03 ",392,"0,71 ",123,48,"2,87 ","14,37 ","1.681,12 ","2,25 ",2067,10,2091,404,"3,91",77,"345,45 ","118,18 "
20171113,0:02:33,517,368,2430,1272,2450,"35,15 ","1,55 ",363,"0,55 ",141,38,"2,17 ","13,72 ","1.335,76 ","2,63 ",1933,11,2027,373,"3,48",57,"216,67 ","116,67 "
20170915,0:02:40,514,155,1506,864,1520,"33,99 ","1,05 ",163,"0,36 ",52,16,"1,37 ","8,62 ","543,81 ","2,34 ",1293,3,1352,151,"3,77",24,"366,67 ","266,67 "
20171127,0:02:37,514,417,2772,1418,2808,"28,63 ","3,81 ",442,"1,09 ",133,107,"5,61 ","13,96 ","3.063,16 ","2,31 ",1929,20,2301,384,"3,57",175,"157,69 ","88,46 "
20170529,0:02:14,513,320,2887,1711,2902,"33,61 ","1,65 ",345,"0,56 ",148,48,"3,13 ","12,23 ","1.613,45 ","4,23 ",3261,10,2510,274,"3,6",87,"0,00 ","0,00 "
20170525,0:02:45,511,193,1819,1066,1838,"37,85 ","2,23 ",259,"0,84 ",116,41,"4,42 ","13,84 ","1.551,91 ","3,35 ",1872,10,1611,244,"3,8",82,"0,00 ","0,00 "
20170425,0:02:38,510,261,2279,1290,2291,"32,86 ","1,75 ",222,"0,57 ",114,40,"3,35 ","11,64 ","1.314,22 ","2,84 ",1967,14,1995,254,"3,63",75,"90,91 ","45,45 "
20171005,0:02:36,510,240,2415,1444,2434,"39,33 ","1,15 ",502,"0,45 ",118,28,"1,86 ","11,51 ","1.101,18 ","2,56 ",2356,9,2152,317,"4,06",51,"230,00 ","100,00 "
20170522,0:02:49,508,213,2462,1484,2474,"33,95 ","2,02 ",359,"0,69 ",109,50,"3,61 ","13,53 ","1.697,32 ","3,47 ",2746,12,2231,368,"3,83",92,"0,00 ","0,00 "
20171121,0:01:52,508,680,3541,2772,3558,"34,53 ","0,79 ",318,"0,27 ",120,28,"1,42 ","10,49 ","966,75 ","2,33 ",2435,12,2840,325,"3,28",44,"150,00 ","57,14 "
