,DMS,Visitas,Rebotes,Salidas,Usuarios nuevos,Sesiones,VMP,CR,UNC,VS,NVPRC,TR,PCOD,PCRD,Ingresos,CTRLP,CLP,SB,SE,NPP,Cantidad,CRED,CPAY
0,139,749,879,6565,4017,6616,0.3161,0.0196,1074,0.0062,387,130,0.03,0.1603,0.04108,0.021400000000000002,4729,38,5645,1082,209,2.31,0.9
1,140,746,344,3509,1945,3537,0.3812,0.016399999999999998,306,0.0063,80,58,0.0279,0.0868,0.022099999999999998,0.023399999999999997,2972,15,3165,309,99,1.86,1.13
2,178,729,371,3900,2656,3935,0.4403,0.0183,437,0.008100000000000001,127,72,0.0333,0.1067,0.0317,0.0235,3984,9,3513,307,141,3.0,1.18
3,181,649,264,2352,1197,2372,0.45770000000000005,0.0287,406,0.0131,108,68,0.046799999999999994,0.1333,0.031120000000000002,0.0213,2044,9,2073,587,140,2.23,1.0
4,164,631,224,1961,1075,1977,0.42710000000000004,0.0268,264,0.011399999999999999,87,53,0.0441,0.1158,0.022629999999999997,0.0227,1565,15,1714,266,99,1.76,0.76
5,155,626,271,2025,1006,2041,0.34869999999999995,0.0181,264,0.0063,71,37,0.0239,0.10490000000000001,0.0129,0.0245,1754,4,1730,358,68,7.5,2.5
6,123,623,300,2844,1630,2871,0.3421,0.0115,321,0.0039000000000000003,112,33,0.0199,0.1085,0.011279999999999998,0.023700000000000002,2247,24,2529,267,54,0.82,0.25
7,141,623,314,3033,1599,3051,0.36340000000000006,0.0115,498,0.0042,163,35,0.0262,0.1401,0.012709999999999999,0.0196,2421,13,2692,439,89,1.38,1.53
8,143,602,287,2739,1467,2758,0.3171,0.017,243,0.0054,112,47,0.024300000000000002,0.0897,0.0149,0.0218,2279,13,2438,250,65,2.0,0.78
9,133,599,284,3111,1948,3134,0.4305,0.0083,328,0.0036,98,26,0.013500000000000002,0.105,0.01119,0.027999999999999997,2925,11,2823,244,48,1.83,0.41
10,137,594,278,3535,2144,3566,0.3564,0.016,620,0.005699999999999999,201,57,0.0335,0.16010000000000002,0.02031,0.0213,2848,11,3237,421,135,1.85,1.07
11,153,586,290,2826,1656,2843,0.3771,0.025699999999999997,345,0.0097,100,73,0.044199999999999996,0.11779999999999999,0.02752,0.023,2503,6,2521,332,129,3.25,1.87
12,142,585,233,2623,1459,2645,0.3765,0.0087,272,0.0033,113,23,0.0128,0.1009,8.65,0.0253,2383,12,2369,205,35,1.16,1.0
13,138,576,565,3286,1963,3333,0.3969,0.0189,457,0.0075,140,63,0.0383,0.1376,0.025,0.0174,2308,12,2718,298,124,2.14,0.5
14,150,576,628,4692,2664,4728,0.3129,0.0262,894,0.008199999999999999,342,124,0.045,0.1668,0.0388,0.0235,3906,26,4034,931,249,2.55,1.26
15,153,573,720,5131,2890,5170,0.3452,0.022099999999999998,909,0.0076,353,114,0.0373,0.1536,0.03935,0.0242,4214,25,4364,912,219,2.46,1.0
16,134,571,286,3157,1633,3179,0.3588,0.010700000000000001,487,0.0038,170,34,0.0163,0.14,0.012190000000000001,0.0241,2558,10,2872,368,59,1.83,1.25
17,161,569,189,1745,897,1762,0.4228,0.0216,286,0.0091,86,38,0.0317,0.1383,0.01606,0.0264,1561,4,1543,250,64,5.25,1.25
18,139,568,258,2418,1438,2442,0.36579999999999996,0.0102,208,0.0037,75,25,0.016399999999999998,0.0801,9.14,0.027000000000000003,2152,10,2150,200,42,1.2,0.6
19,146,568,290,2242,1127,2267,0.3935,0.0141,369,0.005600000000000001,137,32,0.0212,0.1291,0.012589999999999999,0.0256,2047,6,1956,230,67,3.66,2.16
20,183,566,240,2148,1133,2168,0.42460000000000003,0.0194,287,0.008199999999999999,106,42,0.030699999999999998,0.1108,0.01783,0.026099999999999998,2145,9,1890,324,79,2.6,1.4
21,147,559,264,2226,1364,2237,0.4483,0.0125,259,0.005600000000000001,103,28,0.0236,0.11220000000000001,0.012549999999999999,0.027000000000000003,1929,18,1937,246,58,1.27,0.33
22,144,559,281,2858,1688,2878,0.5672,0.0101,351,0.005699999999999999,124,29,0.0225,0.1161,0.01644,0.0285,2652,11,2569,370,66,1.76,0.3
23,152,556,239,2236,1286,2251,0.44770000000000004,0.0084,261,0.0038,104,19,0.017,0.1027,8.5,0.023700000000000002,2158,5,1993,146,42,3.0,1.2
24,156,553,180,2339,1467,2356,0.38780000000000003,0.0229,362,0.0089,116,54,0.0333,0.1352,0.02093,0.029300000000000003,2537,6,2156,265,97,3.62,1.87
25,145,547,230,1912,1046,1928,0.3629,0.0239,251,0.0087,94,46,0.0325,0.11130000000000001,0.01669,0.025,1539,10,1664,230,75,1.81,1.0
26,134,546,235,2402,1580,2424,0.3611,0.0132,208,0.0048,69,32,0.0296,0.0907,0.01155,0.0278,1980,8,2159,157,69,2.12,1.12
27,169,545,194,2055,1266,2065,0.38280000000000003,0.015,275,0.005699999999999999,90,31,0.0301,0.1317,0.011859999999999999,0.028900000000000002,2079,10,1839,270,63,1.63,1.45
28,157,545,337,3356,2144,3399,0.3789,0.0182,375,0.0069,124,62,0.0346,0.1139,0.02349,0.0212,3124,8,3023,295,119,3.11,1.22
29,160,544,187,2039,1032,2050,0.4783,0.0171,314,0.008199999999999999,106,35,0.0292,0.1149,0.016739999999999998,0.0208,1811,10,1844,275,76,2.6,1.1
30,160,544,317,2597,1379,2622,0.4294,0.0252,343,0.0108,135,66,0.041299999999999996,0.11410000000000001,0.02833,0.024900000000000002,2300,7,2267,273,129,3.62,1.87
31,149,544,763,3891,2371,3925,0.27449999999999997,0.0171,592,0.004699999999999999,239,67,0.025,0.1452,0.01839,0.023399999999999997,3277,21,3103,476,97,1.88,0.66
32,132,542,192,2007,1247,2020,0.3889,0.0149,231,0.0058,106,30,0.021400000000000002,0.094,0.011659999999999998,0.0259,1455,6,1794,156,53,3.0,1.0
33,152,542,334,3362,2230,3384,0.377,0.0189,318,0.0070999999999999995,94,64,0.0333,0.1,0.02412,0.0286,3427,9,3006,308,106,2.4,1.2
34,126,541,378,3333,2153,3371,0.36979999999999996,0.0154,540,0.005699999999999999,139,52,0.0318,0.1509,0.01922,0.0235,2610,10,2942,337,111,2.54,0.72
35,125,538,310,2096,1164,2109,0.4253,0.0070999999999999995,225,0.003,96,15,0.0134,0.1025,6.37,0.022400000000000003,1557,6,1771,158,29,2.14,0.14
36,181,529,178,1973,1105,1988,0.4068,0.0377,274,0.015300000000000001,98,75,0.0684,0.1281,0.030510000000000002,0.0294,1908,5,1779,232,145,3.75,0.75
37,129,526,235,1920,1013,1929,0.3309,0.011399999999999999,188,0.0038,67,22,0.018500000000000003,0.09359999999999999,7.28,0.0235,1386,11,1669,176,36,1.46,0.46
38,135,525,211,2716,1711,2734,0.3851,0.013500000000000002,309,0.0052,125,37,0.023399999999999997,0.1016,0.01424,0.0278,2341,12,2492,195,65,1.15,0.57
39,140,524,377,2739,1563,2759,0.3579,0.0134,376,0.0048,139,37,0.018500000000000003,0.1206,0.01324,0.026099999999999998,2298,11,2335,341,55,2.58,0.83
40,137,521,269,2498,1488,2524,0.4435,0.013500000000000002,287,0.006,83,34,0.0268,0.11199999999999999,0.01508,0.026600000000000002,2245,7,2224,237,67,3.12,1.25
41,151,520,311,2808,1475,2828,0.3069,0.0152,423,0.004699999999999999,177,43,0.0199,0.1343,0.01319,0.0255,2699,14,2493,341,63,1.58,1.05
42,173,520,253,2349,1159,2368,0.3502,0.0203,392,0.0070999999999999995,123,48,0.0287,0.1437,0.016810000000000002,0.0225,2067,10,2091,404,77,3.45,1.18
43,153,517,368,2430,1272,2450,0.3515,0.0155,363,0.0055000000000000005,141,38,0.0217,0.13720000000000002,0.013349999999999999,0.0263,1933,11,2027,373,57,2.16,1.16
44,160,514,155,1506,864,1520,0.33990000000000004,0.0105,163,0.0036,52,16,0.0137,0.0862,5.43,0.023399999999999997,1293,3,1352,151,24,3.66,2.66
45,157,514,417,2772,1418,2808,0.2863,0.0381,442,0.0109,133,107,0.056100000000000004,0.1396,0.03063,0.0231,1929,20,2301,384,175,1.57,0.88
46,134,513,320,2887,1711,2902,0.3361,0.0165,345,0.005600000000000001,148,48,0.0313,0.1223,0.01613,0.042300000000000004,3261,10,2510,274,87,0.0,0.0
47,165,511,193,1819,1066,1838,0.3785,0.0223,259,0.0084,116,41,0.044199999999999996,0.1384,0.01551,0.0335,1872,10,1611,244,82,0.0,0.0
48,158,510,261,2279,1290,2291,0.3286,0.0175,222,0.005699999999999999,114,40,0.0335,0.1164,0.01314,0.028399999999999998,1967,14,1995,254,75,0.9,0.45
49,156,510,240,2415,1444,2434,0.3933,0.0115,502,0.0045000000000000005,118,28,0.018600000000000002,0.1151,0.011009999999999999,0.0256,2356,9,2152,317,51,2.3,1.0
50,169,508,213,2462,1484,2474,0.3395,0.0202,359,0.0069,109,50,0.0361,0.1353,0.01697,0.0347,2746,12,2231,368,92,0.0,0.0
51,112,508,680,3541,2772,3558,0.3453,0.0079,318,0.0027,120,28,0.014199999999999999,0.10490000000000001,9.66,0.0233,2435,12,2840,325,44,1.5,0.57
52,161,507,214,2963,1946,2988,0.3159,0.0147,473,0.004699999999999999,181,44,0.023799999999999998,0.145,0.01389,0.0394,3703,5,2752,369,80,0.0,0.0
53,129,506,267,1886,979,1905,0.31679999999999997,0.014199999999999999,126,0.0045000000000000005,47,27,0.0258,0.0702,8.55,0.0199,881,15,1572,109,45,0.46,0.26
54,140,504,239,2007,1143,2020,0.38280000000000003,0.0124,215,0.004699999999999999,77,25,0.018000000000000002,0.091,9.57,0.024399999999999998,1728,5,1756,224,41,3.8,1.6
55,159,503,213,2016,1056,2041,0.3693,0.0323,320,0.011899999999999999,107,66,0.052000000000000005,0.1341,0.02437,0.0252,1803,11,1796,216,117,0.93,0.81
56,146,501,168,1707,961,1718,0.3566,0.015700000000000002,261,0.005600000000000001,60,27,0.0297,0.13390000000000002,9.62,0.029900000000000003,1632,9,1528,158,51,1.72,0.72
57,144,499,286,2436,1235,2455,0.3344,0.0134,267,0.0045000000000000005,115,33,0.0199,0.0956,0.01103,0.0268,2362,8,2145,217,55,2.44,1.55
58,153,498,168,1518,856,1531,0.4068,0.0229,227,0.009300000000000001,47,35,0.031400000000000004,0.1202,0.01423,0.0235,1221,9,1332,234,61,1.76,1.0
59,144,497,166,1750,1002,1768,0.43799999999999994,0.013600000000000001,242,0.0059,78,24,0.0232,0.1209,0.010509999999999999,0.0281,1654,6,1581,254,47,2.16,2.16
60,164,492,143,1435,843,1444,0.5657,0.0139,249,0.0078000000000000005,80,20,0.029900000000000003,0.1331,0.01131,0.0242,1231,13,1275,245,53,1.31,0.25
61,142,490,211,2873,1997,2892,0.3328,0.009300000000000001,240,0.0031,91,27,0.0196,0.1014,8.98,0.0262,2483,10,2648,177,46,1.06,0.4
62,141,488,165,1465,855,1477,0.34630000000000005,0.015600000000000001,194,0.0054,63,23,0.0217,0.1225,7.96,0.0248,1042,10,1296,174,34,1.0,1.3
63,130,488,210,1684,881,1704,0.4472,0.0158,234,0.0070999999999999995,78,27,0.0269,0.131,0.01207,0.0229,1230,9,1465,247,46,1.8,0.7
64,126,487,200,1347,774,1355,0.37770000000000004,0.0103,122,0.0039000000000000003,43,14,0.0187,0.0872,5.28,0.0226,815,2,1125,221,27,3.5,2.0
65,136,486,216,2108,1061,2125,0.2878,0.0075,253,0.0022,101,16,0.0098,0.1104,4.6,0.0223,1747,8,1884,128,22,1.44,0.55
66,136,484,266,2487,1690,2505,0.2883,0.0104,229,0.003,102,26,0.0189,0.1048,7.49,0.0308,2333,4,2210,186,40,3.4,1.8
67,163,484,184,1769,1000,1781,0.33049999999999996,0.0129,197,0.0043,81,23,0.0192,0.1085,7.6,0.034,1907,11,1571,136,34,0.78,0.21
68,166,482,171,1720,954,1731,0.39030000000000004,0.0225,258,0.0088,81,39,0.0339,0.1211,0.015220000000000001,0.025,1550,7,1537,320,72,2.37,1.75
69,157,482,172,2297,1435,2306,0.307,0.013000000000000001,283,0.004,105,30,0.0143,0.1033,9.21,0.0322,2592,8,2109,190,38,2.27,0.72
70,115,482,289,1759,886,1772,0.48219999999999996,0.0068000000000000005,215,0.0033,60,12,0.0138,0.0897,5.78,0.0223,1116,7,1463,215,27,1.0,0.66
71,124,481,607,3747,1970,3781,0.3126,0.015600000000000001,542,0.0049,183,59,0.025699999999999997,0.141,0.01844,0.021400000000000002,2554,15,3112,408,95,2.82,0.94
72,168,477,110,1139,637,1152,0.3478,0.0087,137,0.003,53,10,0.009899999999999999,0.1024,3.47,0.022099999999999998,1002,5,1028,101,13,1.6,0.4
