# ----------------------------------------
# Todos los datos de sitios web
# ANALISIS DE DATOS
# 20150307-20180313
# ----------------------------------------

Fecha,Clics,CTR,Impresiones,Porcentaje de rebote,Tasa de conversión de comercio electrónico,Transacciones,Duración media de la sesión,Ingresos,CTR de la lista de productos,Porcentaje carrito/detalle,Porcentaje compra/detalle,Reembolsos,Porcentaje de salidas,% de nuevas sesiones,Precio medio,Clics de la lista de productos,Número de unidades agregadas al carrito,Valor por sesión,RPC,% de sesiones con búsquedas,Páginas/sesión,Cantidad media,Número de pagos de productos,Sesiones
20171124,3.027,"2,38 %",127.007,"13,69 %","1,75 %",116,00:02:21,"3.715,23 €","2,24 %","14,64 %","2,67 %",0,"27,86 %","60,57 %","19,48 €",4.957,1.002,"0,56 €","1,23 €","0,39 %","3,57","1,06",1.068,6.620
20171123,2.585,"2,00 %",129.325,"13,81 %","1,74 %",90,00:02:32,"2.652,49 €","2,34 %","14,53 %","2,48 %",0,"26,59 %","56,04 %","18,05 €",4.075,841,"0,51 €","1,03 €","0,54 %","3,73","1,07",722,5.162
20171126,1.901,"1,70 %",111.769,"13,50 %","2,19 %",103,00:02:26,"3.075,62 €","2,32 %","15,15 %","3,39 %",0,"27,39 %","56,24 %","16,84 €",3.696,801,"0,65 €","1,62 €","0,60 %","3,62","1,05",931,4.698
20171122,1.750,"0,81 %",215.897,"20,52 %","1,76 %",69,00:02:27,"1.919,31 €","2,28 %","13,13 %","2,62 %",0,"26,27 %","60,50 %","18,57 €",3.175,557,"0,49 €","1,10 €","0,61 %","3,77","1,02",450,3.914
20171125,1.576,"1,30 %",120.771,"16,87 %","1,24 %",47,00:02:05,"1.736,14 €","2,13 %","14,52 %","2,51 %",0,"31,83 %","51,81 %","18,70 €",2.458,557,"0,46 €","1,10 €","0,56 %","3,12","1,00",405,3.781
20171127,1.297,"1,87 %",69.510,"14,97 %","1,73 %",47,00:02:35,"1.313,94 €","2,24 %","14,81 %","2,72 %",0,"27,73 %","50,72 %","15,54 €",1.858,471,"0,48 €","1,01 €","1,03 %","3,57","1,12",323,2.719
20171029,1.030,"0,89 %",115.903,"15,26 %","0,52 %",11,00:01:57,"512,90 €","2,18 %","8,49 %","0,97 %",0,"32,78 %","56,21 %","26,77 €",1.465,173,"0,24 €","0,50 €","0,19 %","3,04","1,00",131,2.103
20171030,925,"1,35 %",68.299,"14,38 %","1,02 %",28,00:02:24,"1.071,11 €","2,65 %","10,53 %","1,53 %",0,"28,54 %","56,56 %","23,74 €",2.259,317,"0,39 €","1,16 €","0,54 %","3,48","1,00",289,2.753
20171114,892,"0,79 %",112.893,"12,81 %","1,32 %",30,00:02:02,"807,63 €","2,83 %","12,01 %","1,59 %",0,"30,55 %","56,82 %","19,67 €",1.655,304,"0,36 €","0,91 €","0,26 %","3,25","1,05",242,2.272
20171115,875,"0,78 %",112.117,"16,47 %","1,58 %",32,00:02:09,"1.120,66 €","2,89 %","13,26 %","2,18 %",0,"29,97 %","54,78 %","22,70 €",1.477,298,"0,55 €","1,28 €","0,44 %","3,31","1,00",334,2.028
20171109,870,"0,52 %",165.750,"10,99 %","0,94 %",32,00:02:01,"951,85 €","2,29 %","14,03 %","1,50 %",0,"30,87 %","64,85 %","19,59 €",2.552,477,"0,28 €","1,09 €","0,18 %","3,20","1,00",270,3.394
20171116,869,"0,81 %",106.665,"17,76 %","1,06 %",19,00:01:37,"664,60 €","2,46 %","8,80 %","1,45 %",0,"34,60 %","54,96 %","24,82 €",1.079,165,"0,37 €","0,76 €","0,50 %","2,87","1,00",122,1.796
20171120,836,"1,03 %",81.142,"31,26 %","0,81 %",19,00:01:48,"851,82 €","2,09 %","13,25 %","2,11 %",0,"36,62 %","52,73 %","22,88 €",1.066,259,"0,36 €","1,02 €","0,26 %","2,72","1,00",291,2.342
20171112,824,"0,75 %",109.491,"15,35 %","1,25 %",28,00:02:02,"968,23 €","2,55 %","11,77 %","1,66 %",0,"32,96 %","49,51 %","22,37 €",1.728,300,"0,43 €","1,18 €","0,58 %","3,02","1,05",214,2.248
20171119,824,"1,04 %",78.973,"19,16 %","0,96 %",19,00:01:56,"623,68 €","2,46 %","13,25 %","1,33 %",0,"31,76 %","48,47 %","21,63 €",1.345,289,"0,31 €","0,76 €","0,85 %","3,12","1,14",233,1.989
20171105,821,"0,63 %",130.714,"9,98 %","0,75 %",24,00:02:14,"779,47 €","2,47 %","13,59 %","0,93 %",0,"28,86 %","50,39 %","21,65 €",2.674,497,"0,24 €","0,95 €","0,13 %","3,43","1,12",381,3.195
20171113,815,"0,71 %",114.154,"14,93 %","1,49 %",36,00:02:47,"1.126,67 €","2,83 %","15,00 %","1,70 %",0,"27,06 %","53,01 %","23,70 €",2.133,420,"0,46 €","1,38 €","0,17 %","3,67","1,00",347,2.424
20171106,756,"0,69 %",109.754,"9,93 %","0,98 %",30,00:02:25,"862,29 €","1,95 %","11,88 %","1,65 %",0,"26,88 %","54,31 %","14,72 €",2.499,430,"0,28 €","1,14 €","0,20 %","3,71","1,07",308,3.060
20171121,734,"1,08 %",67.748,"19,78 %","0,90 %",32,00:01:51,"1.105,03 €","2,38 %","9,96 %","1,59 %",0,"30,10 %","78,03 %","23,25 €",2.479,317,"0,31 €","1,51 €","0,31 %","3,32","1,04",319,3.559
20170523,731,"1,47 %",49.596,"8,16 %","2,09 %",51,00:02:43,"1.756,16 €","3,03 %","16,69 %","3,69 %",2,"28,19 %","52,40 %","19,68 €",2.370,424,"0,72 €","2,40 €","0,08 %","3,53","1,02",499,2.439
20171107,697,"1,14 %",60.897,"14,15 %","1,29 %",43,00:02:14,"1.689,72 €","1,70 %","13,11 %","2,58 %",0,"28,67 %","56,98 %","18,58 €",2.404,454,"0,51 €","2,42 €","0,33 %","3,46","1,07",336,3.329
20170706,674,"1,24 %",54.492,"13,49 %","2,40 %",45,00:02:58,"913,68 €","6,78 %","20,62 %","2,98 %",0,"27,26 %","50,32 %","15,16 €",3.218,447,"0,49 €","1,36 €","0,11 %","3,63","1,00",317,1.876
20170925,671,"1,76 %",38.083,"7,69 %","0,73 %",19,00:02:20,"891,24 €","2,67 %","9,45 %","1,16 %",0,"27,80 %","55,36 %","27,72 €",2.488,263,"0,34 €","1,33 €","0,34 %","3,57","1,00",206,2.614
20170524,664,"1,63 %",40.820,"5,94 %","1,33 %",36,00:02:28,"1.227,93 €","3,44 %","15,42 %","2,67 %",2,"28,28 %","57,62 %","19,12 €",2.741,381,"0,45 €","1,85 €","0,41 %","3,51","1,00",276,2.709
