Dates,Clics,Ctr,Impressions,Bounces,Cr,Transactions,Av.session duration,Revenue,Ctr products list,Cart/details rate,Purchase / details rate,refunds,Exits ,New sessions,Av product price,Clics product list,Num.of products added to cart,Session value,Products list Ctr,Rpc,Session inclueded searches,Page/session,Av.number of product sold per transaction,Num.of times product included in a cart during the purchase process,Sessions
20180313,"270(0,13 %)","0,85 %","31.831(0,20 %)","16,03 %","1,28 %","15(0,10 %)",0:02:42,"452,05 €(0,09 %)","2,57 %","12,14 %","2,00 %","0(0,00 %)","27,65 %","57,89 %","17,87 €","942(0,12 %)","167(0,15 %)","0,39 €","2,57 %","1,67 €","0,34 %","3,59",1,"180(0,19 %)","1.173(0,11 %)"
20180312,"241(0,11 %)","0,90 %","26.704(0,17 %)","9,42 %","0,68 %","9(0,06 %)",0:02:00,"294,72 €(0,06 %)","2,41 %","14,16 %","1,07 %","0(0,00 %)","29,51 %","58,54 %","19,65 €","1.128(0,15 %)","214(0,19 %)","0,22 €","2,41 %","1,22 €","0,30 %","3,38",1,"103(0,11 %)","1.317(0,13 %)"
20180311,"215(0,10 %)","0,88 %","24.468(0,15 %)","11,33 %","1,05 %","13(0,09 %)",0:02:11,"363,13 €(0,07 %)","2,46 %","11,51 %","0,98 %","0(0,00 %)","28,98 %","50,96 %","21,86 €","1.053(0,14 %)","158(0,14 %)","0,29 €","2,46 %","1,69 €","0,48 %","3,43","1,31","96(0,10 %)","1.244(0,12 %)"
20180310,"27(0,01 %)","0,16 %","16.541(0,10 %)","10,42 %","1,47 %","9(0,06 %)",0:02:30,"256,25 €(0,05 %)","2,25 %","8,93 %","2,09 %","0(0,00 %)","27,60 %","62,70 %","16,94 €","542(0,07 %)","66(0,06 %)","0,42 €","2,25 %","9,49 €","0,00 %","3,6",1,"62(0,07 %)","614(0,06 %)"
20180309,"155(0,07 %)","0,70 %","22.031(0,14 %)","8,86 %","1,29 %","9(0,06 %)",0:02:34,"369,88 €(0,07 %)","2,09 %","16,79 %","1,39 %","0(0,00 %)","28,02 %","63,86 %","33,43 €","527(0,07 %)","152(0,14 %)","0,53 €","2,09 %","2,39 €","0,86 %","3,55",1,"66(0,07 %)","700(0,07 %)"
20180308,"240(0,11 %)","0,70 %","34.102(0,21 %)","14,30 %","0,24 %","2(0,01 %)",0:02:23,"106,95 €(0,02 %)","1,94 %","5,89 %","0,26 %","0(0,00 %)","34,08 %","67,94 %","53,47 €","454(0,06 %)","45(0,04 %)","0,13 €","1,94 %","0,45 €","0,48 %","2,93",1,"26(0,03 %)","839(0,08 %)"
20180307,"180(0,08 %)","1,90 %","9.468(0,06 %)","10,48 %","1,25 %","11(0,07 %)",0:02:14,"435,93 €(0,09 %)","2,65 %","12,26 %","1,80 %","0(0,00 %)","30,26 %","60,93 %","25,39 €","655(0,08 %)","118(0,11 %)","0,50 €","2,65 %","2,42 €","0,00 %","3,3",1,"81(0,09 %)","878(0,08 %)"
20180306,"174(0,08 %)","1,57 %","11.095(0,07 %)","7,94 %","0,62 %","6(0,04 %)",0:02:33,"88,64 €(0,02 %)","2,12 %","8,73 %","0,56 %","0(0,00 %)","27,23 %","66,70 %","14,06 €","707(0,09 %)","94(0,08 %)","0,09 €","2,12 %","0,51 €","0,41 %","3,63",1,"77(0,08 %)","970(0,09 %)"
20180305,"113(0,05 %)","1,45 %","7.770(0,05 %)","8,36 %","0,80 %","9(0,06 %)",0:02:43,"324,81 €(0,07 %)","2,28 %","8,75 %","1,34 %","0(0,00 %)","25,99 %","57,12 %","18,85 €","968(0,13 %)","111(0,10 %)","0,29 €","2,28 %","2,87 €","0,80 %","3,83",1,"107(0,12 %)","1.124(0,11 %)"
20180304,"125(0,06 %)","2,34 %","5.335(0,03 %)","8,45 %","0,50 %","6(0,04 %)",0:02:12,"286,95 €(0,06 %)","2,26 %","8,75 %","0,87 %","0(0,00 %)","28,93 %","56,65 %","28,37 €","1.032(0,13 %)","118(0,11 %)","0,24 €","2,26 %","2,30 €","0,50 %","3,43",1,"96(0,10 %)","1.195(0,11 %)"
20180303,"0(0,00 %)","0,00 %","0(0,00 %)","14,59 %","0,32 %","2(0,01 %)",0:01:41,"230,92 €(0,05 %)","3,50 %","7,83 %","1,00 %","0(0,00 %)","30,58 %","71,80 %","38,49 €","687(0,09 %)","47(0,04 %)","0,37 €","3,50 %","0,00 €","0,32 %","3,25",1,"43(0,05 %)","617(0,06 %)"
20180302,"45(0,02 %)","2,24 %","2.011(0,01 %)","12,24 %","0,56 %","4(0,03 %)",0:02:18,"185,85 €(0,04 %)","1,97 %","9,09 %","0,75 %","0(0,00 %)","24,65 %","71,77 %","20,41 €","636(0,08 %)","84(0,08 %)","0,26 €","1,97 %","4,13 €","0,28 %","4,03","1,5","30(0,03 %)","719(0,07 %)"
20180301,"116(0,05 %)","1,44 %","8.053(0,05 %)","12,03 %","0,86 %","6(0,04 %)",0:02:14,"192,38 €(0,04 %)","2,00 %","9,95 %","0,74 %","0(0,00 %)","26,74 %","59,46 %","32,06 €","546(0,07 %)","81(0,07 %)","0,28 €","2,00 %","1,66 €","0,86 %","3,74",1,"39(0,04 %)","698(0,07 %)"
20180228,"407(0,19 %)","1,56 %","26.148(0,16 %)","10,69 %","0,66 %","9(0,06 %)",0:02:14,"208,48 €(0,04 %)","2,13 %","12,46 %","0,82 %","0(0,00 %)","25,52 %","61,42 %","20,19 €","1.015(0,13 %)","188(0,17 %)","0,15 €","2,13 %","0,51 €","0,66 %","3,91",1,"171(0,18 %)","1.366(0,13 %)"
20180227,"369(0,17 %)","0,73 %","50.373(0,31 %)","11,45 %","0,66 %","9(0,06 %)",0:02:13,"447,28 €(0,09 %)","2,32 %","14,41 %","1,00 %","0(0,00 %)","24,28 %","60,21 %","27,53 €","1.109(0,14 %)","225(0,20 %)","0,33 €","2,32 %","1,21 €","0,81 %","4,1","1,13","195(0,21 %)","1.362(0,13 %)"
20180226,"322(0,15 %)","0,80 %","40.012(0,25 %)","12,22 %","0,88 %","13(0,09 %)",0:02:13,"481,84 €(0,10 %)","2,38 %","13,41 %","1,12 %","0(0,00 %)","27,21 %","54,51 %","31,18 €","1.220(0,16 %)","210(0,19 %)","0,33 €","2,38 %","1,50 €","0,14 %","3,65",1,"113(0,12 %)","1.473(0,14 %)"
20180225,"321(0,15 %)","0,63 %","51.304(0,32 %)","11,76 %","1,13 %","15(0,10 %)",0:02:47,"896,95 €(0,18 %)","2,43 %","17,53 %","1,98 %","0(0,00 %)","25,98 %","55,69 %","30,68 €","1.225(0,16 %)","276(0,25 %)","0,68 €","2,43 %","2,79 €","0,45 %","3,83","1,13","171(0,18 %)","1.327(0,13 %)"
20180224,"111(0,05 %)","0,57 %","19.333(0,12 %)","11,44 %","0,31 %","2(0,01 %)",0:01:54,"64,92 €(0,01 %)","2,32 %","9,48 %","0,65 %","0(0,00 %)","28,66 %","60,34 %","20,29 €","452(0,06 %)","58(0,05 %)","0,10 €","2,32 %","0,58 €","0,63 %","3,44",1,"54(0,06 %)","638(0,06 %)"
